#      date     time    value 
 2055-09-16 00:00:00 30.60435 
 2055-09-16 00:00:00 30.55434 
 2055-09-16 00:00:00 30.54046 
 2055-09-16 00:00:00 30.51134 
 2055-09-16 00:00:00 30.44614 
 2055-09-16 00:00:00 30.32397 
 2055-09-16 00:00:00 30.18648 
 2055-09-16 00:00:00   29.967 
 2055-09-16 00:00:00 29.55441 
 2055-09-16 00:00:00 28.93054 
 2055-09-16 00:00:00 30.60435 
 2055-09-16 00:00:00 30.55434 
 2055-09-16 00:00:00 30.54046 
 2055-09-16 00:00:00 30.51134 
 2055-09-16 00:00:00 30.44614 
 2055-09-16 00:00:00 30.32397 
 2055-09-16 00:00:00 30.18648 
 2055-09-16 00:00:00   29.967 
 2055-09-16 00:00:00 29.55441 
 2055-09-16 00:00:00 28.93054 
 2055-10-16 12:00:00 30.58697 
 2055-10-16 12:00:00 30.55777 
 2055-10-16 12:00:00 30.55169 
 2055-10-16 12:00:00  30.5363 
 2055-10-16 12:00:00 30.49887 
 2055-10-16 12:00:00 30.41873 
 2055-10-16 12:00:00 30.26978 
 2055-10-16 12:00:00 29.99486 
 2055-10-16 12:00:00 29.51758 
 2055-10-16 12:00:00 28.80543 
 2055-10-16 12:00:00 30.58697 
 2055-10-16 12:00:00 30.55777 
 2055-10-16 12:00:00 30.55169 
 2055-10-16 12:00:00  30.5363 
 2055-10-16 12:00:00 30.49887 
 2055-10-16 12:00:00 30.41873 
 2055-10-16 12:00:00 30.26978 
 2055-10-16 12:00:00 29.99486 
 2055-10-16 12:00:00 29.51758 
 2055-10-16 12:00:00 28.80543 
 2055-11-16 00:00:00  27.4675 
 2055-11-16 00:00:00 27.44743 
 2055-11-16 00:00:00 27.44744 
 2055-11-16 00:00:00 27.44048 
 2055-11-16 00:00:00 27.42733 
 2055-11-16 00:00:00 27.39855 
 2055-11-16 00:00:00 27.33916 
 2055-11-16 00:00:00 27.22391 
 2055-11-16 00:00:00 27.00142 
 2055-11-16 00:00:00 26.67678 
 2055-11-16 00:00:00  27.4675 
 2055-11-16 00:00:00 27.44743 
 2055-11-16 00:00:00 27.44744 
 2055-11-16 00:00:00 27.44048 
 2055-11-16 00:00:00 27.42733 
 2055-11-16 00:00:00 27.39855 
 2055-11-16 00:00:00 27.33916 
 2055-11-16 00:00:00 27.22391 
 2055-11-16 00:00:00 27.00142 
 2055-11-16 00:00:00 26.67678 
 2055-12-16 12:00:00 24.51245 
 2055-12-16 12:00:00 24.50543 
 2055-12-16 12:00:00 24.51344 
 2055-12-16 12:00:00 24.51245 
 2055-12-16 12:00:00 24.50968 
 2055-12-16 12:00:00 24.50279 
 2055-12-16 12:00:00 24.48542 
 2055-12-16 12:00:00 24.45496 
 2055-12-16 12:00:00 24.38619 
 2055-12-16 12:00:00 24.24451 
 2055-12-16 12:00:00 24.51245 
 2055-12-16 12:00:00 24.50543 
 2055-12-16 12:00:00 24.51344 
 2055-12-16 12:00:00 24.51245 
 2055-12-16 12:00:00 24.50968 
 2055-12-16 12:00:00 24.50279 
 2055-12-16 12:00:00 24.48542 
 2055-12-16 12:00:00 24.45496 
 2055-12-16 12:00:00 24.38619 
 2055-12-16 12:00:00 24.24451 
cdo    outputtab: Processed 240 values from 1 variable over 24 timesteps [0.04s 46MB].
