NOM_ENT,NOM_LOC_ORIGINAL,loc,lon,lat,address
BAJA CALIFORNIA,ISLA MIRAMAR,"ISLA MIRAMAR, MEXICO",-114.5666667,30.0833333,"isla miramar, mexico"
BAJA CALIFORNIA,ISLA RAZA,"ISLA RAZA, MEXICO",-112.98,28.8236111,"isla rasa, baja california, mexico"
BAJA CALIFORNIA,ISLA SAN ESTEBAN,"ISLA SAN ESTEBAN, MEXICO",-112.5769444,28.7008333,"san esteban island, 83338 sonora, mexico"
BAJA CALIFORNIA,ISLA SAN JERONIMO,"ISLA SAN JERONIMO, MEXICO",-115.7922802,29.7913725,"isla san jerónimo, baja california, mexico"
BAJA CALIFORNIA,ISLA SAN PEDRO MARTIR,"ISLA SAN PEDRO MARTIR, MEXICO",-112.3069532,28.3803054,"san pedro mártir island, mexico"
BAJA CALIFORNIA,ISLA SANTA ISABEL O EL HUERFANITO,"ISLA SANTA ISABEL O EL HUERFANITO, MEXICO",-105.8855471,21.8480769,"isla santa isabel, nayarit, mexico"
BAJA CALIFORNIA,ISLAS CORONADO,"ISLAS CORONADO, MEXICO",-117.26,32.4175,"isla coronado, baja california, mexico"
BAJA CALIFORNIA,TODOS SANTOS,"TODOS SANTOS, MEXICO",-110.2265101,23.4463619,"todos santos, bcs, mexico"
BAJA CALIFORNIA,LA CALAVERA,"LA CALAVERA, MEXICO",-101.0844009,17.8429248,"40725 la calavera, gro., mexico"
BAJA CALIFORNIA,LA CARDONOSA,"LA CARDONOSA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,LA ESCOLLERA,"LA ESCOLLERA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,LA LOBERA,"LA LOBERA, MEXICO",-115.0643961,27.8318467,"23952 la lobera, b.c.s., mexico"
BAJA CALIFORNIA,LA PALMITA,"LA PALMITA, MEXICO",-103.3547579,20.730477,"la palmita, zapopan, jal., mexico"
BAJA CALIFORNIA,LA PUNTITA,"LA PUNTITA, MEXICO",-102.7242853,20.0735338,"la puntita, sahuayo de morelos, mich., mexico"
BAJA CALIFORNIA,LA TOBA,"LA TOBA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,LAGUNA SALADA,"LAGUNA SALADA, MEXICO",-115.7101789,32.4114587,"laguna salada, 21744 baja california, mexico"
BAJA CALIFORNIA,LOS MORROS,"LOS MORROS, MEXICO",-99.8030785,17.6866711,"39165 los morros, gro., mexico"
BAJA CALIFORNIA,LOS MORROS COLORADOS,"LOS MORROS COLORADOS, MEXICO",-99.8030785,17.6866711,"39165 los morros, gro., mexico"
BAJA CALIFORNIA,SEYBAPLAYA,"SEYBAPLAYA, MEXICO",-90.6876356,19.6392039,"24460 seybaplaya, camp., mexico"
BAJA CALIFORNIA,MANEADERO,"MANEADERO, MEXICO",-116.570038,31.7154809,"rodolfo sánchez taboada, b.c., mexico"
